Date,Open,High,Low,Close,Volume
2023-04-12,99.8876,100.0236,99.7983,99.9135,3888984
2023-04-13,100.0615,100.9200,99.8253,100.7019,933306
2023-04-14,100.7215,101.3181,100.7109,101.1160,1633985
2023-04-17,100.8881,101.0861,100.7084,100.9183,1966816
2023-04-18,100.9024,101.2657,100.6231,100.9433,2227114
2023-04-19,101.0462,101.3516,100.8296,100.8705,2393530
2023-04-20,101.0366,102.0673,100.7138,101.8258,3860716
2023-04-21,101.8454,102.2143,101.4945,101.5260,2029678
2023-04-24,101.3431,102.2692,101.1122,101.9246,3755188
2023-04-25,102.0180,103.0337,101.6239,102.7244,1776395
2023-04-26,102.6153,103.2979,102.2817,103.1166,1482220
2023-04-27,103.1915,103.2983,102.4599,102.8346,3518057
2023-04-28,102.9270,103.8158,102.8290,103.6021,2738859
2023-05-01,103.9133,104.1693,102.0629,102.2857,3671480
2023-05-02,102.5148,102.5372,101.4953,101.8240,2123105
2023-05-03,101.8563,102.2216,101.4165,101.6434,3811150
2023-05-04,101.8445,102.0028,100.9314,101.2972,2724564
2023-05-05,101.3615,101.8003,101.1459,101.5023,3933203
2023-05-08,101.3400,101.4997,100.3098,100.3976,1380205
2023-05-09,100.3936,100.4125,100.0922,100.1361,3431699
2023-05-10,100.3274,100.8604,100.1735,100.6218,3299337
2023-05-11,100.6173,101.7464,100.2730,101.3580,848154
2023-05-12,101.2910,101.6449,100.9321,101.2324,3488388
2023-05-15,101.3379,101.4012,100.9627,100.9640,3828673
2023-05-16,100.8815,101.4977,100.8100,101.2975,1246319
2023-05-17,101.2057,101.9001,100.9621,101.6445,1441054
2023-05-18,101.7079,102.0893,101.0254,101.3944,802398
2023-05-19,101.2932,101.3379,100.6843,100.8295,2089807
2023-05-22,100.9406,101.1676,100.8275,100.8590,3869842
2023-05-23,100.8640,101.1682,100.3263,100.6326,1338512
2023-05-24,100.3261,100.3922,99.6408,99.8518,3344239
2023-05-25,99.8999,100.1156,99.1933,99.4852,1643688
2023-05-26,99.3379,99.6142,99.1886,99.3456,2970870
2023-05-29,99.3795,99.4051,98.9051,98.9135,3123315
2023-05-30,99.0185,99.0469,98.7138,98.9663,1760251
2023-05-31,98.9818,99.2366,98.7762,99.1045,1968018
2023-06-01,99.0135,99.0664,98.5272,98.9014,3195128
2023-06-02,98.8498,99.0390,98.3412,98.5041,1195631
2023-06-05,98.5952,99.1961,98.4084,99.0267,3857965
2023-06-06,99.0996,100.1086,99.0754,99.8501,3854349
2023-06-07,100.1027,100.2022,99.1390,99.2151,2681621
2023-06-08,99.2887,99.6433,98.9389,99.4582,1116187
2023-06-09,99.5625,99.7827,98.3206,98.3409,3067390
2023-06-12,98.0019,99.5252,97.6624,99.1547,1497559
2023-06-13,99.2500,99.5959,98.2216,98.5826,1490538
2023-06-14,98.8830,98.9890,97.0060,97.3196,2708443
2023-06-15,97.5456,97.8378,96.8027,97.1160,3576089
2023-06-16,97.0307,97.1661,96.6432,97.0474,3229258
2023-06-19,96.9944,97.1538,96.9744,97.0284,2799795
2023-06-20,97.0231,97.0861,95.4699,95.8542,1136011
2023-06-21,95.8087,96.0158,95.4640,95.9886,2493557
2023-06-22,96.2043,97.0072,95.9665,96.9087,3397874
2023-06-23,97.0169,97.8991,96.8903,97.6730,1893730
2023-06-26,97.9013,98.0384,97.7430,97.9429,3617272
2023-06-27,97.8115,98.1832,97.1637,97.5380,839071
2023-06-28,97.6778,98.0763,95.4237,95.4530,1694033
2023-06-29,95.4500,95.5896,95.1059,95.1334,1824603
2023-06-30,95.1976,95.5311,94.6120,94.8935,3365562
2023-07-03,94.8659,96.1879,94.5988,95.9764,3126170
2023-07-04,96.1871,96.5627,95.6523,95.7060,1284142
2023-07-05,95.5482,96.5285,95.4355,96.4664,1683444
2023-07-06,96.3672,96.6382,96.2616,96.3845,2849051
2023-07-07,96.7123,96.7326,96.1216,96.3753,1960480
2023-07-10,96.4123,96.9476,96.0203,96.8952,1477723
2023-07-11,96.7055,97.0244,96.7016,96.8534,1115595
2023-07-12,96.7756,97.7783,96.7612,97.7187,2348604
2023-07-13,97.6766,97.7276,97.3003,97.4236,967331
2023-07-14,97.3625,97.8551,97.3214,97.7553,3148321
2023-07-17,97.6534,98.4610,97.5916,98.2128,1792948
2023-07-18,97.9044,99.6190,97.5519,99.2947,903961
2023-07-19,99.6026,100.1933,99.4379,99.8803,3609794
2023-07-20,99.6740,100.7062,99.3590,100.5995,1253385
2023-07-21,100.6278,100.8161,100.3949,100.4747,2730651
2023-07-24,100.7000,101.0485,99.7338,99.8230,3568379
2023-07-25,99.9483,100.3559,99.5616,100.0102,1970735
2023-07-26,100.1542,100.4260,99.2477,99.5851,2188943
2023-07-27,99.5575,100.2490,99.4860,99.8608,1913446
2023-07-28,99.9089,100.7843,99.5943,100.6460,2630368
2023-07-31,100.5349,100.6890,99.8513,100.0819,1868383
2023-08-01,100.1261,100.9073,99.8035,100.6993,3680887
2023-08-02,100.4570,100.7790,100.3113,100.5108,1093491
2023-08-03,100.4041,102.0420,100.1388,101.7928,1322716
2023-08-04,101.6683,101.8207,101.5049,101.6970,2487789
2023-08-07,101.5167,101.5934,101.1826,101.4485,2390250
2023-08-08,101.1579,101.4041,100.7569,100.8773,3098215
2023-08-09,100.7669,101.2178,100.4526,101.1337,3344523
2023-08-10,100.9951,101.1720,100.6700,100.7555,2784686
2023-08-11,100.3894,101.4627,100.1259,101.1683,1990286
2023-08-14,101.1477,101.2818,99.9955,100.3228,3950501
2023-08-15,100.4516,100.7742,100.3130,100.3719,993834
2023-08-16,100.5422,100.8821,100.3649,100.3940,2538291
2023-08-17,100.2652,101.2744,100.1116,100.9870,2476265
2023-08-18,101.2060,101.2082,100.7198,101.0201,1247059
2023-08-21,100.9164,101.4167,100.6380,101.0950,2748463
2023-08-22,101.1303,101.8662,100.9477,101.5269,2748854
2023-08-23,101.1397,101.3778,100.2644,100.6444,2656287
2023-08-24,100.4889,100.6908,99.5855,99.9177,3097941
2023-08-25,99.9472,100.2918,99.4046,99.5847,3953180
2023-08-28,99.7984,100.1047,99.3910,99.5995,3428773
2023-08-29,99.7606,100.0460,99.5493,99.6431,2208646
2023-08-30,99.8124,99.8678,99.2334,99.3259,3710636
2023-08-31,99.4112,99.7306,99.2788,99.5646,2754228
2023-09-01,99.6162,99.7843,98.8501,99.2121,3249806
2023-09-04,99.2022,99.6767,98.9719,99.3245,2800598
2023-09-05,99.3296,100.1841,98.9882,99.8827,2557502
2023-09-06,99.8246,100.1446,98.5743,98.9335,2847782
2023-09-07,99.0910,99.1026,98.9216,99.0560,3648527
2023-09-08,98.8262,99.6791,98.4584,99.3429,3409934
2023-09-11,99.2734,99.5101,97.8001,98.0653,1152101
2023-09-12,98.0020,98.1867,97.8430,97.8631,2390076
2023-09-13,98.0092,98.1442,97.2026,97.5545,1967092
2023-09-14,97.2712,97.6697,97.2385,97.5688,881299
2023-09-15,97.5197,97.9484,97.4300,97.5676,1087806
2023-09-18,97.3539,98.0392,96.9741,97.7375,1636179
2023-09-19,97.5605,98.2776,97.3711,98.1821,1279784
2023-09-20,98.1410,98.4208,97.4882,97.7949,1503758
2023-09-21,97.5564,97.8438,96.2681,96.5792,1486883
2023-09-22,96.5634,96.8694,96.4386,96.8592,3641000
2023-09-25,96.7797,97.7233,96.7003,97.3467,3283438
2023-09-26,97.1505,97.1912,96.7304,97.0394,3669990
2023-09-27,96.9945,97.3880,96.4802,96.7933,2256278
2023-09-28,96.7482,96.7758,95.6697,95.9288,853066
2023-09-29,95.7027,96.6242,95.3184,96.5819,3465837
2023-10-02,96.4771,97.1603,96.4067,97.0991,2988364
2023-10-03,97.0735,97.8874,96.8582,97.5641,2827935
2023-10-04,97.6255,97.8624,96.3408,96.4697,1829681
2023-10-05,96.4139,96.9464,96.3163,96.5938,2749128
2023-10-06,96.4991,96.6337,95.5893,95.7870,2163208
2023-10-09,95.8812,96.2782,95.7451,95.9591,3300455
2023-10-10,95.8441,95.8481,95.4342,95.8134,1159086
